Date,AAPL,MSFT,GOOGL,AMZN,TSLA,META,NFLX,NVDA,JPM,BAC,WMT,PG,V,MA,DIS,PEP,KO,UNH,PFE,MRK,T,VZ,CSCO,INTC,ORCL,ADBE,CRM,BABA,XOM,CVX,GS,SPY,QQQ,IWM,DIA,TLT,GLD,SLV,XLF,XLK,XLE,XLV,ARKK,GDX,BA,NKE,MCD,SBUX
2022-06-01 00:00:00-04:00,146.87635803222656,267.23602294921875,113.61067962646484,121.68399810791016,246.7899932861328,188.07374572753906,192.91000366210938,18.293956756591797,121.78605651855469,34.246212005615234,40.46134567260742,137.52383422851562,206.2619171142578,352.2137145996094,108.33549499511719,155.0491943359375,58.505714416503906,474.9336242675781,47.17095184326172,85.03480529785156,18.389240264892578,44.27973937988281,42.05353546142578,41.54803466796875,69.16666412353516,418.1600036621094,175.2918243408203,90.1814193725586,90.62361907958984,161.57688903808594,301.82037353515625,394.5300598144531,300.7497863769531,177.75967407226562,312.9695129394531,107.71322631835938,172.22999572753906,20.1299991607666,33.29863739013672,137.01571655273438,80.78409576416016,125.20703125,42.14848709106445,30.93970489501953,130.64999389648438,114.8082046508789,235.48342895507812,72.43231964111328
2022-06-02 00:00:00-04:00,149.34552001953125,269.3548278808594,117.33197021484375,125.51100158691406,258.3333435058594,198.26304626464844,205.08999633789062,19.564151763916016,123.74536895751953,34.471649169921875,41.125755310058594,139.00633239746094,211.29248046875,358.15203857421875,110.00234985351562,156.30577087402344,59.117950439453125,474.6540222167969,47.45018005371094,83.97116088867188,18.363243103027344,44.18498229980469,42.574214935302734,42.23563003540039,70.65434265136719,441.2799987792969,187.56732177734375,94.16029357910156,90.4661636352539,161.28367614746094,304.0710144042969,402.04327392578125,308.98602294921875,182.10089111328125,317.1728820800781,107.76883697509766,174.35000610351562,20.59000015258789,33.756614685058594,140.33274841308594,80.52884674072266,126.19654083251953,45.252601623535156,32.26513671875,140.5,119.38390350341797,236.52256774902344,75.41393280029297
2022-06-03 00:00:00-04:00,143.58741760253906,264.8817138671875,114.2580795288086,122.3499984741211,234.51666259765625,190.20730590820312,198.97999572753906,18.693391799926758,122.02041625976562,33.992610931396484,40.41941452026367,137.75990295410156,208.93438720703125,352.96337890625,107.81956481933594,154.58970642089844,58.41295623779297,468.2418212890625,47.91854476928711,83.88719940185547,18.111928939819336,43.77146911621094,42.07213592529297,40.869850158691406,69.35021209716797,429.760009765625,184.09274291992188,90.01724243164062,91.78142547607422,162.7498779296875,298.8476257324219,395.4451599121094,300.9463806152344,180.46092224121094,313.9132080078125,107.5371322631836,172.5800018310547,20.229999542236328,33.27001190185547,136.9766082763672,81.59537506103516,124.71709442138672,42.80302810668945,31.500839233398438,139.25,117.29402923583984,235.91461181640625,75.0625991821289
2022-06-06 00:00:00-04:00,144.33804321289062,263.6358947753906,116.53195190429688,124.79000091552734,238.27999877929688,193.66690063476562,197.13999938964844,18.759294509887695,121.6173095703125,33.95503616333008,40.27427673339844,137.22166442871094,209.21934509277344,355.2519226074219,106.98613739013672,155.23672485351562,58.320186614990234,472.6484069824219,47.97258758544922,83.8218765258789,18.146595001220703,44.14189910888672,42.14651870727539,40.82276153564453,70.49011993408203,429.4599914550781,182.061767578125,95.61857604980469,91.54987335205078,162.0442657470703,300.56378173828125,396.649169921875,301.9488525390625,181.24229431152344,314.0084533691406,105.55378723144531,171.82000732421875,20.3700008392334,33.36543273925781,136.98638916015625,81.50424194335938,124.73628234863281,43.13030242919922,31.171899795532227,139.24000549316406,116.59580993652344,235.63917541503906,74.99613189697266
2022-06-07 00:00:00-04:00,146.87635803222656,267.3144836425781,116.86013793945312,123.0,238.8866729736328,195.06268310546875,198.61000061035156,18.899099349975586,121.93605041503906,34.14289093017578,39.79048538208008,138.75140380859375,210.75210571289062,359.0792541503906,106.94644927978516,156.19325256347656,58.67268753051758,479.3209228515625,48.603092193603516,84.41902160644531,18.31991195678711,44.4951057434082,42.369659423828125,41.0017204284668,70.21963500976562,433.4200134277344,186.32284545898438,100.74668884277344,95.74575805664062,165.1324462890625,301.50152587890625,400.4539489746094,304.55340576171875,184.16539001464844,316.6010437011719,106.69373321533203,172.94000244140625,20.520000457763672,33.62303924560547,138.6204071044922,83.93814849853516,126.35984802246094,44.409629821777344,31.471813201904297,140.82000732421875,117.99226379394531,236.465576171875,75.46141052246094
2022-06-08 00:00:00-04:00,146.13558959960938,265.2642517089844,116.90452575683594,121.18000030517578,241.86666870117188,196.0497283935547,202.8300018310547,18.62542724609375,119.9955062866211,33.7108268737793,39.44538497924805,137.02337646484375,209.76956176757812,357.41217041015625,106.49996948242188,155.4149169921875,58.338741302490234,475.8785705566406,48.1617431640625,83.48599243164062,18.241920471191406,44.408966064453125,41.76530838012695,38.83530807495117,68.95413970947266,428.8399963378906,188.3538360595703,115.52261352539062,96.87576293945312,165.98471069335938,295.0965576171875,396.1001281738281,302.3617248535156,181.31948852539062,313.94171142578125,105.74840545654297,172.77999877929688,20.350000381469727,33.03148651123047,137.0548858642578,84.12047576904297,125.36076354980469,45.609622955322266,31.25897216796875,139.6300048828125,118.70021057128906,233.30242919921875,74.51184844970703
2022-06-09 00:00:00-04:00,140.88121032714844,259.751220703125,114.5518569946289,116.1500015258789,239.7066650390625,183.44766235351562,192.77000427246094,18.02615737915039,117.47370147705078,32.41461181640625,39.03253936767578,134.54937744140625,202.5086669921875,344.2630920410156,102.49158477783203,152.6485137939453,57.3276252746582,471.9252014160156,46.63951873779297,82.10513305664062,18.09459686279297,43.88345718383789,41.15165710449219,37.68616485595703,66.86754608154297,426.4200134277344,186.2830352783203,106.13555145263672,94.78246307373047,162.67657470703125,285.2875671386719,386.67974853515625,294.26300048828125,177.5607147216797,307.86083984375,106.10059356689453,172.22999572753906,19.969999313354492,32.20139694213867,133.39537048339844,82.26084899902344,122.52668762207031,42.84270095825195,30.078657150268555,133.72999572753906,115.01505279541016,230.02529907226562,74.92965698242188
2022-06-10 00:00:00-04:00,135.4391632080078,248.17572021484375,110.88692474365234,109.6500015258789,232.22999572753906,175.04296875,182.94000244140625,16.953454971313477,112.07393646240234,31.15597915649414,39.251861572265625,134.03945922851562,196.0239715576172,330.20654296875,98.62210845947266,152.40472412109375,56.96583938598633,467.2968444824219,45.00920867919922,81.340087890625,17.92994499206543,43.78007125854492,40.43574142456055,36.90437698364258,64.85823059082031,393.8399963378906,177.6613006591797,106.07760620117188,93.05038452148438,160.7338409423828,269.1579284667969,375.4676513671875,283.88421630859375,172.74371337890625,299.63531494140625,105.44256591796875,174.5399932861328,20.190000534057617,31.03738021850586,128.26815795898438,80.86614227294922,120.5572738647461,39.778255462646484,31.510515213012695,127.0,111.26205444335938,225.48483276367188,71.85308837890625
2022-06-13 00:00:00-04:00,130.25387573242188,237.64991760253906,106.12970733642578,103.66999816894531,215.73666381835938,163.76690673828125,169.69000244140625,15.628061294555664,108.73654174804688,30.075807571411133,38.51327133178711,130.45123291015625,188.9006805419922,315.4002380371094,94.96098327636719,149.79774475097656,56.90091323852539,452.90087890625,43.15371322631836,79.30610656738281,17.124006271362305,42.7204704284668,40.20330047607422,35.576271057128906,61.873260498046875,371.6499938964844,165.2961883544922,95.14535522460938,88.78040313720703,153.338623046875,265.68817138671875,361.21185302734375,270.6846618652344,164.6283721923828,291.2572326660156,102.13388061523438,169.92999267578125,19.5,30.11189079284668,122.583251953125,76.64552307128906,116.90664672851562,36.2774543762207,29.478824615478516,115.86000061035156,107.10172271728516,226.5202178955078,68.71003723144531
2022-06-14 00:00:00-04:00,131.12301635742188,239.83750915527344,106.451904296875,102.30999755859375,220.88999938964844,163.23849487304688,167.5399932861328,15.81683349609375,106.92723083496094,29.549806594848633,38.52939224243164,126.38139343261719,190.138671875,317.7676696777344,93.4826431274414,146.4030303955078,55.340572357177734,445.23516845703125,43.16271209716797,79.48483276367188,16.85536003112793,42.350032806396484,39.89647674560547,35.72697830200195,68.31657409667969,370.82000732421875,163.72317504882812,101.62552642822266,89.01197052001953,153.54022216796875,264.9567565917969,360.1233825683594,271.1760559082031,163.83522033691406,290.0372314453125,100.8456039428711,168.57000732421875,19.3700008392334,29.854280471801758,123.35623168945312,76.79136657714844,115.79224395751953,36.68406295776367,28.73387336730957,122.16000366210938,107.3732681274414,226.79566955566406,68.66255950927734
